id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
62853,Apartament close to the centre,251790,Radek&Veronika,,Praha 4,50.058719771699316,14.444073542833245,Entire home/apt,1919,1,151,2018-09-16,1.61,1,328
67612,Modern flat in the center of Prague,333807,Marco,,Praha 1,50.07730282483296,14.42658716208516,Entire home/apt,2987,2,157,2018-09-02,1.71,12,164
69335,Ruterra House with Garden by Metro,227945,Alex And Kate,,Praha 14,50.111814912362185,14.554078395475136,Entire home/apt,1657,3,91,2018-09-05,0.99,90,116
70003,Yellow Ruterra studio,227945,Alex And Kate,,Praha 3,50.087691119184356,14.451635085807355,Entire home/apt,741,3,89,2018-09-06,0.98,90,107
73268,Beautiful Cosy Room by Centre & Nature,382300,Gabriela,,Praha 7,50.10172471196342,14.423314672234715,Private room,611,2,13,2018-08-08,0.14,1,262
73454,Excellent location Old Town B31 2B,383698,Old Town,,Praha 1,50.08528979834469,14.419971555836101,Entire home/apt,2638,1,41,2018-07-24,0.46,59,197
74283,Grand Classic Two Bedroom Apartment,315332,Lubos & Marta,,Praha 1,50.08012463731791,14.421927611220886,Entire home/apt,3292,1,54,2018-09-03,0.69,25,338
74366,Stylish Studio in Old Town - B13,383698,Old Town,,Praha 1,50.08392618635123,14.41809167064655,Entire home/apt,1526,1,31,2018-05-25,0.34,59,198
74999,Two Bedroom Apartment Vodickova 2,315332,Lubos & Marta,,Praha 1,50.08060352645876,14.422886571854884,Entire home/apt,3031,1,25,2018-09-09,0.32,25,337
75009,Two Bedroom Apartment Vodickova 4,315332,Lubos & Marta,,Praha 1,50.07919075228189,14.421589953279526,Entire home/apt,2769,1,41,2018-09-08,0.47,25,336
75298,Emanuel Apartment Prague Center,398991,Emanuele,,Praha 1,50.09175216314976,14.43323009582792,Entire home/apt,1788,2,12,2018-04-08,0.47,3,327
75926,ARCO Guesthouse 5 - History & Culture,404062,Guenther,,Praha 2,50.070588830086415,14.441640909296424,Private room,1156,2,168,2018-07-14,1.90,7,336
76254,Great & central DanceLAB studio,406700,Rena,,Praha 2,50.070289171143536,14.43486668354006,Entire home/apt,720,2,123,2018-09-18,1.40,1,281
79373,M201-Stylish & Serviced in Centre,5282,Klara,,Praha 1,50.08964281397916,14.422559019640444,Entire home/apt,2922,1,31,2018-05-25,0.34,70,346
79381,M504-Elegant Cozy Serviced | Center,5282,Klara,,Praha 1,50.0902375935761,14.422800676488785,Entire home/apt,3183,1,8,2018-05-21,0.09,70,37
79387,M203-Stylish Serviced 65m2 | Center,5282,Klara,,Praha 1,50.09002484908669,14.422883442290633,Entire home/apt,3183,1,16,2018-03-30,0.18,70,338
79711,Modern 1BR next to the National Theatre with breathtaking views to Prague Castle,5282,Klara,,Praha 1,50.080875742263714,14.414001107913672,Entire home/apt,2922,1,12,2018-04-23,0.16,70,36
79725,B13-Huge Unique Serviced in Center,5282,Klara,,Praha 1,50.089845543228925,14.416473217902318,Entire home/apt,8155,1,28,2018-07-07,0.34,70,324
80273,2 bedroom apt 1min to Old Town sq.,174579,Petra,,Praha 1,50.084123583186916,14.420910930166277,Entire home/apt,1832,4,30,2018-04-22,0.39,5,310
80278,"Central,Spacious & Sunny apartment",174579,Petra,,Praha 2,50.07784907056941,14.432230457362568,Entire home/apt,872,4,14,2018-06-17,0.16,5,310
80349,High End Apt in Old Town Prague,434068,Brandon,,Praha 2,50.07440017929986,14.423118900224901,Entire home/apt,1788,3,72,2018-08-14,1.03,2,228
81019,FALL FANTASY ! Contemp Center 2 BEDRM  2BA BALCONY,438733,Renata,,Praha 2,50.0748250679296,14.43320805323651,Entire home/apt,1504,2,105,2018-09-14,1.95,6,169
81020,FALL FANTASY !!  Spacious Center 2 BD 2BA 1WC,438733,Renata,,Praha 2,50.07813801802328,14.438617780005497,Entire home/apt,1504,2,197,2018-09-08,2.23,6,151
83067,Charles Bridge Old Town Apartment 3,315332,Lubos & Marta,,Praha 1,50.08344097628366,14.41471328417862,Entire home/apt,3292,1,129,2018-09-09,1.45,25,324
83855,Charles Bridge Old Town Apartment 4,315332,Lubos & Marta,,Praha 1,50.08526180184769,14.4145639366041,Entire home/apt,3292,1,165,2018-09-14,2.16,25,334
83856,Charles Bridge Old Town Apartment 5,315332,Lubos & Marta,,Praha 1,50.08494095727877,14.414227707332223,Entire home/apt,3292,1,218,2018-09-11,2.41,25,319
84538,3 minutes walk to Charles Bridge,146052,Karen,,Praha 1,50.08983502915343,14.406122972027982,Entire home/apt,1352,3,259,2018-09-04,2.87,16,328
85790,Grande apartment 43 with River View,383698,Old Town,,Praha 2,50.075855184424015,14.414870894706995,Entire home/apt,3292,1,55,2018-07-29,0.64,59,199
86845,Luxury 1-BR in heart of Old Town,475983,Maia,,Praha 1,50.09123885463219,14.424777652902531,Entire home/apt,4993,2,6,2018-08-18,0.09,1,342
98852,In the heart of historic Prague!!,517329,Stephane,,Praha 1,50.08614335239387,14.421449825478414,Entire home/apt,2006,2,424,2018-09-15,4.70,1,295
106207,Welcome To The Jungle Studio By Ruterra,227945,Alex And Kate,,Praha 3,50.08574362328252,14.450895034721976,Entire home/apt,872,3,135,2018-09-12,1.54,90,111
109549,Prague Old Town apartment - 2 bdr,565267,Tana,,Praha 1,50.09153167434414,14.425787653102068,Entire home/apt,2246,2,120,2018-08-22,1.38,2,341
111141,Blue Ruterra Studio close to the City Center,227945,Alex And Kate,,Praha 3,50.085487280300924,14.450903172195817,Entire home/apt,894,3,122,2018-08-26,1.40,90,110
112281,Gorgeous Rose 2BDR Ruterra Suite,227945,Alex And Kate,,Praha 1,50.08048457889768,14.427134571424274,Entire home/apt,1919,2,179,2018-08-30,2.10,90,132
117451,Charming Loft with a Great Terrace!,546587,Kristina,,Praha 5,50.065575693856424,14.40144089622306,Entire home/apt,1810,1,229,2018-09-14,2.80,2,80
142452,Bright and spacious colourful room best 4 couples,147035,Michaela,,Praha 2,50.07687140778295,14.446349447745492,Private room,611,3,184,2018-06-12,2.08,11,252
142476,Alternative room with painting,147035,Michaela,,Praha 2,50.07553852308061,14.445369762048356,Private room,654,2,140,2018-09-13,1.59,11,18
146690,"*Spacious,2bdrooms,central,quiet*",589265,Jan,,Praha 3,50.08542897737729,14.445319234268874,Entire home/apt,1635,3,234,2018-09-09,2.65,1,219
161492,**Good alternative to an hotel!!!**,777201,Gautier,,Praha 2,50.07781305530421,14.437140059867325,Private room,894,2,214,2018-09-12,2.52,2,349
164923,Cozy Apartment With A Bay Window,786483,Svetlana,,Praha 3,50.0757872935569,14.449057081274562,Entire home/apt,1221,2,196,2018-08-25,2.26,4,311
167878,Lovely riverview flat with a balcony and a marina,800205,Peter,,Praha 8,50.10495026682918,14.4692372988393,Entire home/apt,5102,10,1,2018-04-22,0.20,1,88
168683,"NEAR THE CASTLE ""ARTDECO"" HOME - LONG TERM OFFER !",804140,Yaro,,Praha 6,50.09505343347204,14.403422365119349,Entire home/apt,1330,5,25,2018-08-25,0.31,2,86
170491,BEST location in Prague - Old Town,400864,Jaroslav,,Praha 1,50.08768853460925,14.416561061679442,Private room,1919,1,181,2018-09-15,2.12,14,140
173114,Old Town Square Quiet Chic Apartment,826315,Idan & Marta,,Praha 1,50.09156963210806,14.422653368078025,Entire home/apt,1788,3,264,2018-08-30,3.04,3,304
173430,Private room in Prague,828111,Jana,,Praha 5,50.0676154645561,14.364535359264027,Private room,1090,1,8,2017-05-01,0.11,1,363
175334,2 Bedroom Apartment Prague Old Town,838198,Michael,,Praha 1,50.080853766594764,14.41532069010884,Entire home/apt,2529,3,211,2018-08-27,2.51,13,286
175387,Old Town Spacious Apartment- Prague,838198,Michael,,Praha 1,50.08228385192281,14.4149671412783,Entire home/apt,2159,3,209,2018-09-02,2.48,13,309
176243,3BR Old Town Square Apartment 130m2,838198,Michael,,Praha 1,50.08961054183366,14.421668424531228,Entire home/apt,3292,3,244,2018-09-03,3.00,13,295
178199,3 bdr Apartment        Old Town,565267,Tana,,Praha 1,50.08928267210453,14.428301695823016,Entire home/apt,3205,2,121,2018-09-15,1.62,2,314
181641,Krizovnicka apt - Charles Bridge,870664,Jan,,Praha 1,50.08838561021862,14.416656755315373,Entire home/apt,1265,1,148,2018-09-02,1.84,9,59
181951,Opletalova Comfortable Apartment,870664,Jan,,Praha 1,50.082744974432316,14.431032443579923,Entire home/apt,1221,1,97,2018-08-27,1.15,9,64
182072,Polska Spacious 2-Bdr Apartment,870664,Jan,,Praha 2,50.07800349047995,14.448111143412072,Entire home/apt,1723,1,12,2017-01-02,0.14,9,73
182772,Charles Bridge Old Town Apartment 6,315332,Lubos & Marta,,Praha 1,50.08388118888846,14.414415459245753,Entire home/apt,3292,1,89,2018-09-09,1.03,25,323
